State,Program Name,Program type,Statewide or region-specific?,Federal operating authority,Program start date ,Waiver expiration date (if applicable),"If the program ended in 2014, indicate the end date",Populations enrolled,Low-income Adults not eligible under ACA Section VIII,"Aged, Blind or Disabled Children or Adults",Non-Disabled Children (excluding children in foster care or receiving adoption assistance),Individuals receiving Limited Benefits,Low-income adults eligible under ACA Section VIII,Full Duals,Partial Duals,Children with Special Health Care Needs,Native American/Alaskan Natives,Foster Care and Adoption Assistance Children,Enrollment choice period,Enrollment broker name (if applicable),Notes on enrollment choice period,Benefits covered,Inpatient hospital physical health,Inpatient hospital behavioral health (MH and/or SUD),Outpatient hospital physical health,Outpatient hospital behavioral health (MH and/or SUD),Partial hospitalization,Physician,Nurse practitioner,Rural health clinics and FQHCs,Clinic services,Lab and x-ray,Prescription drugs and prosthetic devices,EPSDT,Case management,Health home (SSA 1945),Family planning,Dental services (medical/surgical),Dental (preventative or corrective),Home health agency services,Personal care (state plan option),HCBS waiver services,Private duty nursing,ICF-IDD,Nursing facility services,Hospice care,Non-Emergency Medical Transportation,"Other (e.g., nurse midwife services, freestanding birth centers, podiatry, etc.)",Quality assurance and improvement,HEDIS data required?,CAHPS data required?,Accreditation required?,Accrediting organization,EQRO contractor name (if applicable),Performance incentives?,Payment bonuses/differentials to reward plans,Preferential auto-enrollment to reward plans,Public reports comparing MCO performance on key metrics,Withholds tied to performance metrics,MCOs/PHPs required/encouraged to pay providers for value/quality outcomes using shared-risk or shared-savings methods,Provider Value-Based Purchasing,State pays provider-based entities (such as ACOs or PCMHs) directly for value/quality outcomes using shared-risk or shared-savings methods,Participating plans and regions served,Plans in Program,Notes,Program notes,Year,Location
California,County Organized Health Systems (COHS) Model,Comprehensive MCO + MLTSS,"Orange, Monterey, Santa Cruz, Merced, San Mateo, Solano, Napa, Yolo, Marin, Lake, Mendocino, Sonoma, Humboldt, Lassen, Modoc, Shasta, Siskiyou, Trinity, Del Norte, Santa Barbara, San Luis Obispo, Ventura",1115(a) (Medicaid demonstration waivers),01/01/1983,12/31/2020,.,.,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Voluntary,Pre-assigned,.,.,.,X,.,X,.,.,X,X,X,X,X,X,X,X,.,X,.,.,X,X,X,X,X,X,X,X,.,.,Yes,Yes,No,.,Health Service Advisory Group,.,.,.,X,.,.,.,X,.,CenCal/San Luis Obispo; CenCal/Santa Barbara; Health Plan of San Mateo; Partnership Health Plan of CA/Solano; Central California Alliance for Health/Santa Cruz; CalOPTIMA/Orange; Partnership Health Plan of CA/Napa; Central California Alliance for Health/Monterey; Partnership Health Plan of CA/Yolo; Partnership Health Plan of CA/Marin; Partnership Health Plan of CA/Lake; Partnership Health Plan of CA/Mendocino; Partnership Health Plan of CA/Sonoma; Central California Alliance for Health/Merced; Gold Coast Health Plan/Ventura; Partnership Health Plan of CA/Humboldt; Partnership Health Plan of CA/Lassen; Partnership Health Plan of CA/Modoc; Partnership Health Plan of CA/Shasta; Partnership Health Plan of CA/Siskiyou; Partnership Health Plan of CA/Trinity; Partnership Health Plan of CA/Del Norte,.,"MLTSS benefits are available in the counties where Californias Financial Alignment Initiative program, Cal-MediConnect operates, to Medicaid-only beneficiaries and to Medicare-Medicaid beneficiaries who opt out or who are not eligible for Cal-MediConnect and meet MLTSS eligibility requirements.",2014,"California
(37.211164, -119.662127)"
Rhode Island,ConnectCare Choice Community Partners,Primary Care Case Management (PCCM),Statewide,1115(a) (Medicaid demonstration waivers),11/01/2013,12/31/2018,01/31/2016,,,Voluntary,,,,Voluntary,Voluntary,,Voluntary,,,Voluntary,Voluntary,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,CareLink,,,2016,"Rhode Island
(41.572574, -71.534637)"
Michigan,Healthy Michigan Plan,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),04/01/2014,12/31/2018,,,Voluntary,,,,,,,Voluntary,,,,,,,X,,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,,,,,X,X,X,"Ambulance and other emergency medical transportation, certified midwife services, chiropractic services, DME and supplies, emergency services, end stage renal disease services, health education, hearing and speech services, hearing aids (under 21 years old), medically necessary weight reduction services, parenting and birthing classes, podiatry services, prosthetics and orthotics, tobacco cessation treatment, speech, language, physical and occupational therapies, transplant services, transportation for medically necessary covered services, treatment for STDs, vision services.",,Yes,Yes,Yes,"NCQA, URAC",Health Services Advisory Group (HSAG),,X,X,X,,X,,,,"Aetna Better Health of Michigan; Blue Cross Complete of Michigan; HAP Midwest Health Plan Inc.; Harbor Health Plan, Inc.; McLaren Health Plan; Meridian Health Plan of Michigan, Inc.; Molina Healthcare of Michigan; Priority Health Choice, Inc.; Total Health Care; UnitedHealthcare Community Plan Inc.; Upper Peninsula Health Plan",,Due to a policy change Medicare Eligibles are excluded from the Healthy Michigan Plan. Outpatient Mental Health Services are limited to twenty (20) visits per contract year.,2016,"Michigan
(44.874798, -85.730977)"
District of Columbia,Non-Emergency Medical Transportation Program,Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,10/01/2007,,,,,Mandatory,,Mandatory,,Mandatory,,,Mandatory,,Mandatory,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,,,,,Medical Transportation Management Inc.,,,2016,"District of Columbia
(38.904785, -77.016275)"
Kentucky,Kentucky Medicaid Managed Care,Comprehensive MCO,Statewide,1915(b),11/01/2011,10/31/2017,,,Mandatory,Mandatory,Mandatory,Mandatory,,Voluntary,Voluntary,Mandatory,Mandatory,Mandatory,Mandatory,Voluntary,Voluntary,,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,,,,X,,,X,,,,Yes,Yes,Yes,NCQA,Island Peer Review Organization,,X,,X,,X,,,,Aetna Better Health of Kentucky; Anthem Blue Cross Blue Shield Medicaid; Humana- Caresource; Passport Health Plan; WellCare of Kentucky,,,2016,"Kentucky
(37.526683, -85.290484)"
Washington,Apple Health/Healthy Options Health Home Program,Comprehensive MCO,Statewide,1945 Health Homes,07/01/2013,,,,Voluntary,Voluntary,,,,Voluntary,,Voluntary,Voluntary,,,Voluntary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,Multiple Sites,,"Washington delivers the optional Health Home Medicaid/medical benefit both in the fee for service system and through MCOs.  For individuals in Apple Health comprehensive MCOs, the MCOs are at risk for a health home services plus a broad array of benefits including inpatient, outpatient, physician services, pharmacy, etc.  For individuals in PCCMs, the MCOs administer health homes services separate from the PCCM program",2016,"Washington
(47.411715, -120.592492)"
Washington,"Apple Health (Program includes, AHAC, CHIP, HOFC, BHSO & HO)",Comprehensive MCO,Statewide,"1932(a),1945 Health Homes",07/01/1994,,,,Mandatory,Mandatory,Mandatory,,,,,Mandatory,Mandatory,Mandatory,,,,,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,X,,X,X,,,,Yes,Yes,Yes,NCQA,Qualis,,,,,,,,,,Amerigroup; Community Health Plan of Washington; Coordinated Care of Washington; Molina; United Health Care,,"BHSO is a new program that started on 04/01/2016. Because it is included with AHAC/CHIP/HOFC/HO, it does not have a separate count of enrollees.",2016,"Washington
(47.411715, -120.592492)"
Arkansas,NET Transportation,Non-Emergency Medical Transportation,Statewide,1915(b),08/26/1998,9/30/2015,.,.,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Exempt,Mandatory,Other,.,N/A,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,No,No,No,NCQA,.,.,.,.,.,.,.,.,.,.,Arkansas Medicaid Non-Emergency Transportation,.,.,2014,"Arkansas
(34.899825, -92.439162)"
North Carolina,Program of All Inclusive Care for the Elderly,Program of All-inclusive Care for the Elderly (PACE),"Alamance, Alexander, Brunswick, Burke, Cabarrus, Caldwell, Caswell, Catawba, Chatham, Cleveland, Cumberland, Davidson, Davie, Durham, Gaston, Granville, Guilford, Harnett, Hoke, Iredell, Lee, Lincoln, Mecklenburg, Moore, New Hanover, Orange, Robeson, Rockingham, Rowan, Stanley, Union, and Wake counties",PACE,02/01/2008,,,,,Voluntary,,,,Voluntary,Voluntary,,Voluntary,,,Voluntary,Voluntary,,X,X,X,X,X,X,X,X,X,X,X,,X,X,,X,X,,X,X,X,,X,X,X,Restorative Therapies; Nutrition counseling; Recreational therapies; Meals,,No,No,No,,,,,,,,,,,,"Carolina Senior Care; Community Care Partners, Inc.; Elderhauc, Inc; Life St. Josteph of the Pines, Inc; PACE at Home, Inc; PACE of the Southern Piedmonth; PACE of the TRIAD; Piedmont Health Services, Inc; Senior Total Life Care, Inc.; Stay Well Senior Care; Voans Senior Community Care of North Carolina",,"IMD: PACE serves individuals 55 and over in pre-approved service areas / zip codes.   In regards to inpatient psych placements, a PACE organization can be contracted with a particular hospital or psych clinic in their approved service area and network. Most psychiatric inpatient placements with PACE have participants placed in a local contracted hospital that may have a psychiatric unit /wing within the facility.",2016,"North Carolina
(35.52603, -79.130883)"
California,Program of All-Inclusive Care for the Elderly (PACE),Program of All-inclusive Care for the Elderly (PACE),"Alameda, Contra Costa, Fresno, Humboldt, Los Angeles, OrangeRiverside, Sacramento, San Bernardino, San Diego, San Francisco, Santa Clara",PACE,06/01/1991,,,,,Voluntary,,,,Voluntary,Voluntary,,Voluntary,,,Voluntary,Voluntary,,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,,X,,,,X,X,X,,,No,No,No,,,,,,,,,,,,Central Valley Medical Services/Fresno; Redwood Coast PACE/Humboldt; Sutter SeniorCare PACE/Sacramento; Center for Elders Independence/Alameda; Alta Med Health Senior Buenacare/Los Angeles; Center for Elders Independence/Contra Costa; Innovage PACE/Riverside; Innovage PACE/San Bernardino; ONLOK Lifeways/San Francisco; ONLOK Lifeways/Alameda; ONLOK Lifeways/Santa Clara; St. Paul's PACE/San Diego; CalOPTIMA PACE/Orange; Brandman Centers for Senior Care/Los Angeles; San Diego PACE,,,2016,"California
(37.211164, -119.662127)"
South Carolina,Medical Homes Network,Primary Care Case Management (PCCM),Statewide,1932(a),08/01/2007,,,,,Voluntary,Voluntary,,,,,,Voluntary,Voluntary,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,South Carolina Solutions,,,2016,"South Carolina
(33.878572, -80.864614)"
California,Family Mosaic Project/San Francisco,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),San Francisco,1932(a)/1915(c),01/12/1992,12/31/2020,.,.,.,.,.,.,.,.,.,Voluntary,Voluntary,Voluntary,Pre-assigned,.,.,.,.,.,.,X,.,X,X,.,X,X,X,X,X,.,.,.,.,.,.,.,.,.,.,.,X,.,.,Yes,No,No,.,.,.,.,.,.,.,.,.,.,.,Family Mosaic Project/San Francisco,.,.,2014,"California
(37.211164, -119.662127)"
Indiana,Hoosier Healthwise,Comprehensive MCO,Statewide,1932(a),01/01/2000,,,,,,Mandatory,,,,,,,Mandatory,,,,,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,,,,,,,,,,X,,,Yes,Yes,Yes,NCQA,Burns and Associates,,X,,,X,X,,,,Managed Health Services; MDWise; Anthem,,,2016,"Indiana
(39.919991, -86.2818)"
Virginia,Medallion 3.0,Comprehensive MCO,Statewide,1915(b),01/01/1996,07/01/2017,,,,Mandatory,Mandatory,,,,,,Mandatory,Mandatory,,,,,X,X,X,,,X,X,X,X,X,X,X,X,,X,,,,,,,,,,X,"Certified nurse midwife, emergency dental services, health homes but not under SSA 1945 (state-specified)",,Yes,Yes,Yes,NCQA,Health Services Advisory Group (HSAG),,X,,,X,X,,,,"Virginia Premier; Healthkeepers Inc (Anthem Healthkeepers Plus); Optima Family Care; Kaiser Foundation Health Plan of the Mid-Atlantic States, INC (KFHPMA); INTotal Health; Aetna Better Health of Virginia",,,2016,"Virginia
(37.510861, -78.666382)"
Rhode Island,Rhody Health Partners Expansion,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),12/23/2013,12/31/2018,,,Mandatory,,,,,,,Mandatory,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,,,X,,X,,,,,,,Yes,Yes,Yes,NCQA,,,X,,,,,,,,Neighborhood Health Plan; United Healthcare,,,2016,"Rhode Island
(41.572574, -71.534637)"
Idaho,Idaho Medicare-Medicaid Coordinated Plan,Comprehensive MCO + MLTSS,"Ada, Bannock, Bingham, Boise, Bonner, Bonneville, Boundary, Canyon, Cassia, Clark, Elmore, Fremont, Gem, Jefferson, Kootenai, Madison, Minidoka, Nez Perce, Owyhee, Payette, Power, and Twin Falls Counties","1915(a),1915(a)/1915(c)",06/01/2014,12/31/2017,,,,,,,,Voluntary,,,,,,Voluntary,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,X,,X,X,X,,,,No,No,Yes,NCQA,Telligen,,,,,,X,,,,"Blue Cross of Idaho Care Plus, Inc.",,"This program does not utilize witholds tied to performance metrics, but does employ invoice reductions for performance deficiencies.",2016,"Idaho
(44.389073, -114.659366)"
Michigan,MI Choice,MLTSS only (PIHP and/or PAHP),Statewide,1915(b)/1915(c),10/01/2003,09/30/2018,,,,Voluntary,,,,Voluntary,Voluntary,,Voluntary,,,Voluntary,Voluntary,,,,,,,,,,,,,,X,,,,,,,X,X,,,,,"Adult Day Health, chore, Community Living Support, Community Transition, Counseling, Home Modifications, Fiscal Intermediary, Goods and Services, Home Delivered Meals, Non-Medical Transportation, Nursing Services, PERS, Private Duty Nursing, Respite, Specialized Medial Equipment and Supplies, Supports Coordination and Trainers, NEMT is being phased in starting 10/1/2016 with Statewide implementation planned for 4/1/2017 (pending CMS approval).",,No,No,No,,,,,,,X,,,,,Macomb-Oakland Regional Center (MORC); Northeast MI Community Service Agency; A & D Home Health Care Inc.; Area Agency on Aging 1-B; Area Agency on Aging of NW Michigan; Area Agency on Aging of West Michigan; Detroit Area Agency on Aging; Northern Health Care Management; Region 2 Area Agency on Aging; Region 3B Area Agency on Aging; Region IV (4) Area Agency on Aging; Region VII (7) Area Agency on Aging; Reliance Community Care Partners; Senior Resources of West Michigan; Senior Services Inc.; The Information Center Inc.; The Senior Alliance; Tri-County Office on Aging; UPCAP Care Services; Valley Area Agency on Aging,,"Covers HCBS only.  Must be elderly or disabled adult (at least age 18), meet Nursing Facility Level of Care (NFLOC), and require supports coordination and at least one additional waiver service to qualify.  Accreditation is not required, but some plans do this voluntarily.",2016,"Michigan
(44.874798, -85.730977)"
North Dakota,PACE,Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,08/01/2008,,,,,Voluntary,,,,Voluntary,Voluntary,,Voluntary,,,Voluntary,Voluntary,,X,X,X,X,,X,X,X,X,X,X,,X,X,,X,X,,X,,,,,,,,,No,No,No,,CMS and North Dakota,,,,,,,,,,PACE,,,2016,"North Dakota
(47.446305, -100.46931)"
Mississippi,Mississippi Coordinated Access Network (MississippiCAN),Comprehensive MCO,Statewide,1932(a),01/01/2011,,,,,,Mandatory,,,,,,,Mandatory,,,,,X,X,X,X,,X,X,X,X,X,X,X,,X,,X,X,,,,X,,,X,,Presently MississippiCAN covers all state plan services as Medicaid fee-for-service for the categories of eligibility enrolled in program,,Yes,Yes,"No, but accreditation considered in plan selection criteria","NCQA, JCAHO, AAAHC, URAC",The Carolinas Center of Medical Excellence (CCME),,,,,,,,,,Magnolia Health; UnitedHealthcare of Mississippi Community Plan,,"The MississippiCAN Program was implemented January 1, 2011, with two Coordinated Care Organizations (CCOs), Magnolia Health and UnitedHealthcare Community Plan.  The program has evolved from a limited number of beneficiaries in 2011 (approximately 48,000) to a majority of the Mississippi Medicaid population by July 1, 2016 (499,365 or 69%).  Also, additional services have been added since 2011, including behavioral health, non-emergency transportation, and inpatient hospital services.  Presently all populations enrolled receive full benefits and all applicable state plan services.  Excluded populations include residents of institutions, waiver beneficiaries, and dual eligibles.  For more information, please see https://medicaid.ms.gov/wp-content/uploads/2015/08/2015-MississippiCANProvider-Workshop-Presentation.pdf.",2016,"Mississippi
(32.713378, -89.65344)"
Colorado,Program of All-inclusive Care for the Elderly (PACE),Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,10/01/1991,,,,,Voluntary,,,,Voluntary,Voluntary,,Voluntary,,,Voluntary,Voluntary,,X,X,X,X,X,X,,,X,X,X,,X,X,,X,X,,X,,X,,X,X,X,"PACE is an all-inclusive program. Some of the other available services include optometry, podiatry, rehabilitative services, adult day health center services, transportation to/from",,No,No,No,,,,,,,,,,,,Rocky Mountain Health Care Services (PACE); Total Longterm Care - Pueblo DBA Innovage Greater Colorado PACE; Total Longterm Care- InnovAge Greater Colorado PACE; Volunteers of America (VOANS) PACE DBA Senior CommUnity Care; Total Longterm Care - InnovAge Loveland,,,2016,"Colorado
(38.998552, -105.547832)"
California,Health Plan of San Mateo CCS Demo/San Mateo,Comprehensive MCO,San Mateo,1115(a) (Medicaid demonstration waivers),06/01/2012,04/01/2018,,,,,,,,,,,,,,,,,,,X,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,X,X,"Pediatric specialties and subspecialies, pediatric surgical specialties",,Yes,No,No,,,,,,,,,,,,Health Plan of San Mateo CCS Demo,,,2016,"California
(37.211164, -119.662127)"
Texas,Texas Medicaid Wellness Program,Primary Care Case Management (PCCM),Statewide,1915(b),03/01/2011,03/31/2018,,,,Voluntary,Voluntary,,,Voluntary,,,Voluntary,Voluntary,,Voluntary,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,Yes,Yes,Yes,"NCQA, URAC",,,,,,,,,,,AxisPoint Health,,The following population categories may enroll voluntarily: [1] Blind/Disabled Children and Related Populations [2] Blind/Disabled Adults and Related Populations [3] Section 1931 Children and Related Populations [4] Section 1931 Adults and Related Populations [5] Dual eligibile Medicaid members under the age of 21 [6] Non-disabled children.,2016,"Texas
(31.447238, -99.317341)"
Wisconsin,Care4Kids,Other Prepaid Health Plan (PHP) (limited benefits),"Counties: Kenosha, Milwaukee, Ozaukee, Racine, Washington, Waukesha",1937 Alt Benefit Plan,01/01/2014,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,,X,,X,,X,X,,Prosthetic devices; nurse midwife services; podiatry,,Yes,No,No,,"MetaStar, Inc.",,,,,,,,,,Children’s Hospital of Wisconsin,,,2016,"Wisconsin
(44.639954, -89.732969)"
Florida,Long-term Care Program,MLTSS only (PIHP and/or PAHP),Statewide,1915(b)/1915(c),03/01/2014,12/27/2021,,,,Mandatory,Mandatory,Mandatory,,Mandatory,,,Mandatory,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,X,X,X,"Home Health Prosthetic Devices, Intermittent and Skilled Nursing Services.  In addition, the Agency also negotiated expanded benefits above the Medicaid state plan service package.  These expanded benefits vary by plan and include, but are not limited to, cellular phone service, mobile personal emergency response system, over-the-counter medications and supplies, and support to transition out of a nursing facility.",,Yes,No,Yes,"NCQA, AAAHC, Nationally recognized accrediting organizations",Health Services Advisory Group,,X,,,,,,,,"American Eldercare, Inc.; Amerigroup Florida, Inc.; Coventry Healthcare oF FL, Inc.; Molina Healthcare of FL, Inc.; Sunshine State Health Plan, Inc.; United Healthcare of FL, Inc.",,A recipient must be 18 years of age or older and meet Nursing Facility level of care in order to enroll in the Long-term Care program.  Recipients aged 18 to 64 must be eligible for Medicaid by reason of a disability as determined by the Social Security Adminstration in order to enroll in the Long-term Care program.,2016,"Florida
(28.260731, -82.420978)"
New Hampshire,New Hampshire Medicaid Care Management,Comprehensive MCO,Statewide,"1915(b),1932(a)",12/01/2013,08/30/2017,,,Mandatory,Mandatory,Mandatory,,,Mandatory,,Mandatory,Mandatory,Mandatory,,Mandatory,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,,X,,,X,X,"Nurse midwife, non-nurse midwife, freestanding birth centers, podiatry, PT/OT/ST, ambulance, adult medical day care, DME, eyeglasses, full substance use disorder treatment",,Yes,Yes,Yes,NCQA,HSAG,,,,,,,,,,New Hampshire Healthy Families; Well Sense,,Individuals in the New Hampshire Medicaid Care Management program can be enrolled under either a 1915(b) waiver or a 1932(a) federal operating authority.,2016,"New Hampshire
(43.680429, -71.57139)"
Utah,Dental,Dental only (PAHP),"Salt Lake, Utah, Weber, Davis",1915(b),09/01/2013,08/31/2018,,,,Mandatory,Mandatory,,,Mandatory,Mandatory,,Mandatory,Mandatory,,Mandatory,Mandatory,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,Yes,Yes,No,,Health Services Advisory Group,,,,,,,,,,Premier Access; Delta Dental,,,2016,"Utah
(39.323779, -111.678222)"
Oregon,OHP - Oregon Health Plan,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),02/01/1994,06/30/2022,,,Mandatory,Voluntary,Voluntary,Mandatory,,Voluntary,Voluntary,Mandatory,Voluntary,Voluntary,Mandatory,Voluntary,Voluntary,,X,X,X,X,,X,,,,X,X,X,X,X,X,X,X,,,,,,X,X,X,"Hearing, Immunization, Vision",,No,Yes,No,"NCQA, URAC",Health Insight,,X,,X,X,,,,,"Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Greater Oregon Behavioral Health, Inc.; Managed Dental Care of Oregon; ODS Community Health Inc.; AllCare Health Plan; Cascade Health Alliance; Columbia Pacific; Eastern Oregon CCO; FamilyCare; HealthShare of Oregon; InterCommunity Health Network; Jackson Care Connect; PacificSource Community Solutions - Central Oregon; PacificSource Community Solutions - Columbia Gorge; PrimaryHealth of Josephine County; Trillium Community Health Plan; Umpqua Health Alliance; Western Oregon Advanced Health; Willamette Valley Community Health; Yamhill Community Care",,"A person can be enrolled simultaneously in two or three plans. For example, a client can be enrolled in the PACE program for physical health, a dental plan (DCO) for dental care and a mental health plan (CCO) for mental health care. So the person would be counted three times, once in PACE, once for the DCO and once for the MHO. Or a person could be enrolled in a CCO for physical health and mental health but be enrolled in a DCO for dental health care. Then the person would be counted twice, once for the CCO enrollment and once for the dental care organization enrollment. Note: Both CareOregon (FCHP) and Kaiser Permanente (PCO) had closed to enrollment prior to June 2016.",2016,"Oregon
(43.940449, -120.605279)"
Arizona,Primary Care Case Mangement,Primary Care Case Management (PCCM),Statewide,1932(a),01/01/2014,,,,Mandatory,Mandatory,Mandatory,,,,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,No,Yes,No,,,,,,,,,,,,Multiple Primary Care Providers,,,2016,"Arizona
(34.293239, -111.664616)"
California,Positive Healthcare/Los Angeles,Other Prepaid Health Plan (PHP) (limited benefits),Los Angeles,"1915(a)/1915(c),1937 Alt Benefit Plan",01/04/2002,12/31/2020,.,.,Voluntary,.,Voluntary,.,Voluntary,.,.,.,Voluntary,Voluntary,Pre-assigned,.,.,.,.,.,X,.,.,X,X,X,X,X,X,X,X,.,X,.,.,.,.,.,.,.,.,X,X,.,.,Yes,Yes,No,.,.,.,.,.,.,.,.,.,.,.,Positive Healthcare/Los Angeles,.,.,2014,"California
(37.211164, -119.662127)"
Iowa,IA Healthlink,Comprehensive MCO + MLTSS,Statewide,"1915(b)/1915(c),1937 Alt Benefit Plan,1945 Health Homes",04/01/2016,03/31/2019,,,Mandatory,Mandatory,Mandatory,,,Mandatory,,Mandatory,Mandatory,Mandatory,,Mandatory,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,X,X,X,X,X,X,,,Yes,Yes,Yes,NCQA,Health Services Advisory Group (HSAG),,,,X,X,X,,,,"UnitedHealthcare of the River Valley, Inc.; Amerigroup of Iowa, Inc.; AmeriHealth Caritas of Iowa, Inc.",,"On April 1, 2016, most existing Iowa Medicaid programs were joined together into one managed care program called IA Health Link. Coverage is provided through a Managed Care Organization (MCO) that brings together physical, behavioral and long term care under one program. Some Medicaid members continue to receive Medicaid coverage through a Fee-for-Service model and will not transition to the IA Health Link program. IA Health Link was intended to implement 1/1/2016 after other managed care plans ended, but was delayed until 4/1/2016. Between 1/1/2016 and 3/31/2016 service delivery was provided through a Medicaid FFS mechanism.",2016,"Iowa
(42.074659, -93.500061)"
New York,Medicaid Managed Care,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),10/01/1997,03/31/2021,,,Mandatory,Mandatory,Mandatory,,,,,Mandatory,Mandatory,Mandatory,,,,,X,X,X,X,,X,X,,X,X,X,X,X,X,X,,X,,X,,X,,,X,,"Nurse Midwife Services, Foot Care Services",,Yes,Yes,No,,Island Peer Review Organization,,X,X,X,,,,,,Affinity Health Plan; Amidacare Special Needs; Capital District Physician's Health Plan; Crystal Run Health Plan; Excellus Health Plan; Healthfirst; Healthnow; Healthplus; HIP Combined; Hudson Health Plan; Independent Health/Hudson Valley & WNY; Metroplus Health Plan; Metroplus Health Plan Special Needs; MVP Health Plan; NYS Catholic Health Plan/Fidelis; Today's Options; United Healthcare; VNS Choice Special Needs; Wellcare; Yourcare Health Plan,,Medicaid Managed Care was reported as Partnership Plan Medicaid Managed Care in 2015.,2016,"New York
(42.921241, -75.59655)"
Georgia,Georgia Families 360o,Comprehensive MCO,Statewide,"1932(a),1932(a)/1915(c)",03/03/2014,06/30/2017,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,,,,X,X,,,"Podiatry, Nurse Midwife",,Yes,Yes,Yes,"NCQA, JCAHO, URAC",Health Services Advisory Group (HSAG),,X,,,,,,,,Amerigroup Community Care,,"Georgia Families 360o enrolls children, youth, and young adults in foster care; children and youth receiving adoption assistance; and select youth involved in the juvenile justice system.",2016,"Georgia
(32.638481, -83.426574)"
Louisiana,Healthy Louisiana (BHO),Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,1915(b)/1915(c),12/01/2015,08/31/2019,,,,Mandatory,,,,Mandatory,,,Mandatory,,,Mandatory,,,,X,,X,X,X,X,X,X,X,,X,X,,,,,,,X,,,,,,,,Yes,Yes,Yes,"NCQA, URAC",IPRO,,,,X,X,,,,,Aetna Better Health of Louisiana; Amerigroup Louisiana; AmeriHealth Caritas Louisiana; Louisiana Healthcare Connections; UnitedHealthcare Community Plan,,"On December 1, 2015 Louisiana transitioned from a single BHO provider to incorporating behavioral health services into our MCO program.  A BHO program still exists for those ineligible for full coverage.  On July 1, 2016 Louisiana expanded Medicaid and rebranded our MCO/BHO programs from Bayou Health to Healthy Louisiana.",2016,"Louisiana
(30.921314, -91.840238)"
Rhode Island,Connect Care Choice,Primary Care Case Management (PCCM),Statewide,1115(a) (Medicaid demonstration waivers),06/01/2007,12/31/2018,01/31/2016,,,Voluntary,,,,,,,Voluntary,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,Multiple Primary Care providers,,,2016,"Rhode Island
(41.572574, -71.534637)"
California,Geographic Managed Care (GMC) Model,Comprehensive MCO + MLTSS,"Sacramento, San Diego",1115(a) (Medicaid demonstration waivers),06/01/1991,12/31/2020,,,Mandatory,Mandatory,,,,Varies,,Mandatory,Mandatory,,,Varies,,,X,,X,,,X,X,X,X,X,X,X,X,,X,,,,X,X,X,X,X,X,X,,,Yes,Yes,No,,Health Services Advisory Group,,,X,X,,,,,,Community Health Group/San Diego; Health Net/San Diego; Molina Healthcare/San Diego; Care 1st Healthplan/San Diego; Kaiser/San Diego; Molina Healthcare/Sacramento; Health Net/Sacramento; Kaiser/Sacramento; Anthem Blue Cross Partnership Plan/Sacramento,,Full duals are mandatory for managed care enrollment in CCI Counties (San Diego) and voluntary for all other Counties (Sacramento).,2016,"California
(37.211164, -119.662127)"
